Name,Brand,Condition,ROM,Warranty,Min_Price ($),Max_Price ($),Shipment_Cost ($),Sold_Count
Apple iPhone 12 Mini,Apple,Very Good - Refurbished,64GB,1 YEAR WARRANTY,158.99,158.99,0,863
Google Pixel 8a T Mobile Or Android GOOD,Google,Very Good - Refurbished,128GB,0,184.99,249.99,0,81
NEW Samsung Galaxy A13 A14 A15 A32 A42 A50 A51 A52 A54 BLACK USA,Samsung,Brand New,,0,84,213,0,0
Samsung Galaxy A07 A075F RAM International Version New,Samsung,Brand New,64GB,0,99.95,99.95,0,242
NEW SEALED Samsung Galaxy S22 Ultra S908U,Samsung,Brand New,128GB,0,284.55,358.55,0,0
NEW! Apple iPhone SE 2022 3rd Gen 100% 🔋 Battery 🔓 🔟 🔟,Apple,Open Box,,0,249,449,0,135
Apple iPhone 8 8 Plus Verizon AT&T WIFI Smartphone,Apple,Pre-Owned,64GB,0,75,140,0,26
UMIDIGI A13 Pro Max 64MP Android Smartphone,UMIDIGI,Certified - Refurbished,256GB,0,160.59,160.59,0,0
45W Type USB C Super Fast Wall Charger 6ft Cable For Samsung Galaxy S22 S23 S21,Unbranded,Brand New,,0,1.79,1.79,0,0
Xiaomi Redmi 13C Clover Green RAM ROM,Redmi,Brand New,256GB,0,99.98,99.98,0,133
8 8'' Lenovo LEGION Y700 4th Gen Gaming Tablet Snapdragon 8 Elite 165Hz 16,Lenovo,Brand New,512GB,0,619,619,0,0
65W Super Fast Wall Charger Adapter & USB C Cable for Samsung Galaxy S21 22 23,,Brand New,,0,3.99,3.99,0,0
OPEN BOX Apple iPhone 16e BLACK WHITE A3212,Apple,Open Box,128GB,0,419,529,0,27
Apple iPhone 14 Plus A2632 Blue C,Apple,Pre-Owned,128GB,0,230.39,230.39,0,34
Apple iPhone 14 Pro Max Network,Apple,Excellent - Refurbished,256GB,0,494.67,494.67,0,4464
Nice Motorola Moto G 2024 XT2417 2 Functional Android,Motorola,Pre-Owned,128GB,0,69.99,69.99,5.5,0
Apple iPhone 15 Plus A2847 Black B,Apple,Pre-Owned,128GB,0,351.77,351.77,0,0
Apple iPhone 11 A2111 Black Good,Apple,Good - Refurbished,64GB,0,136.99,136.99,0,272
Apple iPhone 15 AT&T T Mobile Verizon,Apple,Very Good - Refurbished,256GB,1 YEAR WARRANTY,426.95,426.95,0,240
SAMSUNG GALAXY S25 SM S931U1 ❖SEALED❖,Samsung,Brand New,128GB,0,579.95,679.95,0,0
Apple iPhone 12 mini Smartphone,Apple,Very Good - Refurbished,64GB,0,166.2,204.2,0,0
Samsung Galaxy S21 Plus S21 Phone SM G996U1 Good,Samsung,Good - Refurbished,128GB,0,132.99,174.95,0,127
Apple iPhone 15 AT&T T Mobile Verizon,Apple,Very Good - Refurbished,128GB,1 YEAR WARRANTY,383.95,383.95,0,220
Samsung Galaxy S21 Ultra SM G998U1,Samsung,Very Good - Refurbished,128GB,0,223.99,309.95,0,257
New Samsung Galaxy S20 Plus SM G986U All carriers,Samsung,Brand New,128GB,0,188.78,188.78,0,105
Apple iPhone 14 Pro A2650 Deep Purple,Apple,Excellent - Refurbished,128GB,0,399.99,399.99,0,268
Apple iPhone 13,Apple,Pre-Owned,128GB,0,312,312,0,36
Samsung Galaxy S22 Ultra S908U T Mobile AT&T Mint Verizon,Samsung,Excellent - Refurbished,256GB,0,259.99,399.99,0,0
Apple iPhone 12 Mini Used,Apple,Pre-Owned,256GB,0,189.99,209.99,0,163
Apple iPhone 14 Pro Max Used,Apple,Pre-Owned,512GB,0,494.99,589.99,0,0
Apple iPhone 13 Pro Max,Apple,Excellent - Refurbished,128GB,1 YEAR WARRANTY,411.99,411.99,0,117
Apple iPhone 13,Apple,Pre-Owned,128GB,0,312,312,0,36
Motorola Edge 2021 RAM 108MP Camera Smartphone,Motorola,Open Box,256GB,0,94.95,94.95,0,301
Samsung Galaxy S25 Ultra Carrier Titanium Black,Samsung,Open Box,256GB,0,829.98,829.98,0,0
phone,China Mobile,Pre-Owned,,0,60,60,0,102
Apple iPhone 14 Plus,Apple,Excellent - Refurbished,128GB,0,320.95,320.95,0,27
Apple iPhone 15,Apple,Excellent - Refurbished,128GB,0,406.95,406.95,0,373
Apple iPhone 17 Mist Blue,Apple,Brand New,256GB,0,809.99,809.99,0,0
Good Apple iPhone 5 5c for any carrier,Apple,Open Box,64GB,0,31.26,55.57,3,0
Senior Cellphone VolTe Flip Logic Z1L Camera Radio FM Flashlight New,LOGIC,Brand New,,0,39.94,39.94,0,38
Inmarsat Isatphone Pro Satellite Phone ⭐NEW⭐,Inmarsat,Brand New,,0,399,399,0,0
Apple iPhone 14 Verizon,Apple,Pre-Owned,128GB,0,240,390,0,0
Samsung Galaxy S23 Ultra Aftermarket Display,Samsung,Pre-Owned,256GB,0,335,335,0,0
Apple iPhone X 64 FACE ID,Apple,Pre-Owned,256GB,0,96,187,0,80
Apple iPhone 13 Mini Good,Apple,Good - Refurbished,512GB,0,213.86,284.86,0,0
ALT MIVE Style Folder 2 AT M140 3G Black White=,,Open Box,32GB,0,249.99,264.99,31.99,36
New Sealed Apple iPhone 17 Pro Max Orange 1 Year Apple,Apple,Brand New,512GB,0,1499.99,1499.99,0,0
🔥 Samsung Galaxy A36 Black A366U1 1 Year,Samsung,Open Box,128GB,0,199.95,199.95,0,77
Apple iPhone 14 Pro,Apple,Very Good - Refurbished,512GB,0,406,406,0,0
Apple iPhone 13 Pro Max,Apple,Very Good - Refurbished,512GB,0,451.08,634.83,0,123
Apple iPhone 13 Pro Max,Apple,Excellent - Refurbished,512GB,0,400.95,400.95,0,54
Apple iPhone 14 Pro Max Good,Apple,Good - Refurbished,512GB,0,507.33,583.74,0,0
Google Pixel 10 Pro Fold Verizon Moonstone New,Google,Brand New,256GB,0,822,822,0,0
Apple iPhone 14 Pro Max,Apple,Excellent - Refurbished,128GB,0,464,464,0,0
Apple iPhone 14 6 1 Blue A2649 w 1 Year,Apple,Good - Refurbished,128GB,0,277.32,277.32,0,589
Apple iPhone 16 Pro Desert Titanium,Apple,Very Good - Refurbished,256GB,0,653.39,653.39,0,64
NEW Apple iPhone 14 🔓 100% 🔋 Battery 🛡️ 1 Year,Apple,Open Box,,0,398,479,0,75
Samsung Galaxy A26 A266U 2025 6 7 Black NEW,Samsung,Brand New,128GB,0,209.99,209.99,0,0
Apple iPhone 14 Plus,Apple,Very Good - Refurbished,128GB,1 YEAR WARRANTY,306.99,306.99,0,45
Apple iPhone 12 Verizon AT&T T Mobile,Apple,Excellent - Refurbished,64GB,0,194.99,268.99,0,0
Samsung Galaxy S25 FE Cricket Wireless Sealed Black,Samsung,Brand New,128GB,0,279.99,279.99,0,0
Samsung Galaxy Folder2 32G SM G160N 2021 ver Grey White Red =,Samsung,Pre-Owned,,0,99.99,109.99,9.99,863
